#####
# Men
#####
## Akaviri
akaviri;Akaviri;Akaviri;Akaviri;;Akaviri;;;;;;;;;x
akaviri_desc;[Root.GetFirstName] is an Akaviri, a human from the northern mainland of the Eastern Continent. They are renowned for their nearly unbreakable willpower, an important trait for rulership and martial prowess alike. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Breton
breton;Breton;Breton;Breton;;Breton;;;;;;;;;x
breton_desc;[Root.GetFirstName] is a Breton, hailing from High Rock. They are powerful magicians due to their elven ancestry. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Imperial
imperial;Imperial;Imperial;Imperial;;Imperial;;;;;;;;;x
imperial_desc;Also known as Cyrodilics, Cyro-Nordics and Imperial-Cyrods, the well-educated and well-spoken Imperials are the natives of the civilized, cosmopolitan province of Cyrodiil, the Heartland of Tamriel. Imperials are well known for their discipline and respect for the rule of law. Though physically less imposing than other races, the Imperials have proven themselves shrewd diplomats and merchants. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Kamal
kamal;Kamal;;;;;;;;;;;;;x
kamal_desc;[Root.GetFirstName] is a Kamal, one of the hardy stout people of southern Akavir. Their brutish fortitude, alongside their nearly boundless courage, has earned them the nickname of "Snow Demons," a term which they wear with pride. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Nord
nord;Nord;Nord;Nord;;Nord;;;;;;;;;x
nord_desc;[Root.GetFirstName] is a Nord, a descendant of the first human settlers in Tamriel.  The harsh weather of their native land of Skyrim has given them an incredible resistance to cold.\n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Quey
quey;Quey;;;;;;;;;;;;;x
quey_desc;[Root.GetFirstName] is a Quey, an islander from the archipelagos between Tamriel and Akavir. They are often skilled diplomats and schemers, but are less adept in the ways of magick. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Reachman
reachman;Reachman;Reachman;Reachman;;Reachman;;;;;;;;;x
